filename,width,height,class,xmin,ymin,xmax,ymax
gloves (254).jpeg,300,168,gloves,89,10,224,146
gloves (255).jpeg,225,225,gloves,2,20,47,153
gloves (255).jpeg,225,225,gloves,52,20,109,100
gloves (255).jpeg,225,225,gloves,112,20,164,95
gloves (255).jpeg,225,225,gloves,165,18,224,148
gloves (255).jpeg,225,225,gloves,114,83,174,209
gloves (255).jpeg,225,225,gloves,61,90,112,218
gloves (256).jpeg,225,225,gloves,74,33,165,189
gloves (257).jpeg,275,183,gloves,5,19,68,155
gloves (257).jpeg,275,183,gloves,74,19,124,155
gloves (257).jpeg,275,183,gloves,135,18,199,154
gloves (257).jpeg,275,183,gloves,210,21,259,153
gloves (258).jpeg,225,225,gloves,25,77,99,168
gloves (258).jpeg,225,225,gloves,119,53,193,135
gloves (259).jpeg,225,225,gloves,77,113,143,183
gloves (259).jpeg,225,225,gloves,164,159,225,215
gloves (26).jpeg,224,224,gloves,5,46,191,173
gloves (260).jpeg,265,190,gloves,90,7,174,111
gloves (260).jpeg,265,190,gloves,181,1,252,42
gloves (260).jpeg,265,190,gloves,1,131,107,190
gloves (261).jpeg,239,211,gloves,34,77,141,165
gloves (261).jpeg,239,211,gloves,97,60,223,206
gloves (262).jpeg,225,225,gloves,8,39,181,154
gloves (262).jpeg,225,225,gloves,80,114,214,183
gloves (263).jpeg,244,206,gloves,1,29,132,199
gloves (263).jpeg,244,206,gloves,126,1,244,182
gloves (264).jpeg,208,242,gloves,36,1,162,227
gloves (265).jpeg,225,225,gloves,14,23,108,183
gloves (265).jpeg,225,225,gloves,119,24,215,172
gloves (266).jpeg,220,220,gloves,11,82,87,204
gloves (266).jpeg,220,220,gloves,109,63,186,203
gloves (267).jpeg,225,224,gloves,48,18,179,193
gloves (268).jpeg,225,225,gloves,56,31,188,225
gloves (269).jpeg,225,225,gloves,90,36,208,215
gloves (269).jpeg,225,225,gloves,15,119,102,225
gloves (27).jpeg,246,205,gloves,120,1,246,177
gloves (270).jpeg,225,225,gloves,68,35,203,204
gloves (270).jpeg,225,225,gloves,36,14,143,216
gloves (271).jpeg,259,194,gloves,79,91,175,186
gloves (271).jpeg,259,194,gloves,49,27,137,101
gloves (272).jpeg,225,225,gloves,52,60,219,223
gloves (273).jpeg,225,225,gloves,55,4,184,219
gloves (274).jpeg,262,192,gloves,116,8,200,155
gloves (274).jpeg,262,192,gloves,53,21,121,106
gloves (275).jpeg,224,224,gloves,55,7,190,224
gloves (276).jpeg,183,275,gloves,61,23,161,272
gloves (277).jpeg,205,246,gloves,2,1,204,238
gloves (278).jpeg,263,191,gloves,123,11,252,172
gloves (279).jpeg,225,225,gloves,1,145,144,225
gloves (28).jpeg,225,225,gloves,15,61,212,177
gloves (280).jpeg,226,223,gloves,12,9,216,197
gloves (281).jpeg,225,225,gloves,10,82,85,179
gloves (281).jpeg,225,225,gloves,58,70,112,164
gloves (281).jpeg,225,225,gloves,106,68,162,166
gloves (281).jpeg,225,225,gloves,159,73,214,172
gloves (282).jpeg,318,159,gloves,17,5,208,150
gloves (283).jpeg,275,183,gloves,135,88,187,139
gloves (284).jpeg,284,177,gloves,2,86,25,134
gloves (284).jpeg,284,177,gloves,24,88,46,122
gloves (284).jpeg,284,177,gloves,32,74,50,99
gloves (284).jpeg,284,177,gloves,47,86,67,126
gloves (284).jpeg,284,177,gloves,61,72,77,97
gloves (284).jpeg,284,177,gloves,47,66,65,88
gloves (284).jpeg,284,177,gloves,72,61,89,86
gloves (284).jpeg,284,177,gloves,70,87,92,121
gloves (284).jpeg,284,177,gloves,95,85,118,130
gloves (284).jpeg,284,177,gloves,121,87,138,116
gloves (284).jpeg,284,177,gloves,140,86,158,116
gloves (284).jpeg,284,177,gloves,161,86,179,119
gloves (284).jpeg,284,177,gloves,183,86,205,120
gloves (284).jpeg,284,177,gloves,209,88,231,123
gloves (284).jpeg,284,177,gloves,238,91,256,125
gloves (284).jpeg,284,177,gloves,263,87,282,124
gloves (284).jpeg,284,177,gloves,217,65,260,91
gloves (284).jpeg,284,177,gloves,170,62,212,86
gloves (284).jpeg,284,177,gloves,120,64,167,89
gloves (284).jpeg,284,177,gloves,89,60,123,87
gloves (285).jpeg,225,225,gloves,106,72,225,217
gloves (286).jpeg,225,225,gloves,21,35,127,202
gloves (286).jpeg,225,225,gloves,125,19,218,199
gloves (287).jpeg,224,224,gloves,11,21,216,201
gloves (288).jpeg,282,179,gloves,11,20,162,179
gloves (289).jpeg,185,272,gloves,65,52,150,190
gloves (29).jpeg,225,225,gloves,46,52,107,176
gloves (29).jpeg,225,225,gloves,116,48,186,179
gloves (290).jpeg,225,225,gloves,50,29,184,186
gloves (291).jpeg,225,225,gloves,27,49,205,218
gloves (292).jpeg,225,225,gloves,19,55,132,218
gloves (293).jpeg,264,191,gloves,116,15,261,117
gloves (293).jpeg,264,191,gloves,1,72,112,169
gloves (294).jpeg,262,192,gloves,78,43,174,142
gloves (295).jpeg,225,225,gloves,42,50,153,222
gloves (295).jpeg,225,225,gloves,149,123,209,194
gloves (295).jpeg,225,225,gloves,1,1,41,46
gloves (295).jpeg,225,225,gloves,45,4,88,42
gloves (295).jpeg,225,225,gloves,90,4,137,42
gloves (295).jpeg,225,225,gloves,133,1,181,44
gloves (295).jpeg,225,225,gloves,180,3,221,45
gloves (296).jpeg,225,225,gloves,7,7,109,181
gloves (296).jpeg,225,225,gloves,121,46,219,220
gloves (297).jpeg,236,214,gloves,32,76,146,171
gloves (297).jpeg,236,214,gloves,78,31,190,132
gloves (298).jpeg,225,225,gloves,94,12,218,198
gloves (298).jpeg,225,225,gloves,10,20,147,185
gloves (299).jpeg,299,168,gloves,105,7,209,162
gloves (3).jpeg,275,183,gloves,28,1,209,183
gloves (30).jpeg,293,172,gloves,115,47,284,135
gloves (30).jpeg,293,172,gloves,6,36,108,118
gloves (300).jpeg,275,183,gloves,20,16,124,95
gloves (300).jpeg,275,183,gloves,105,87,169,173
gloves (301).jpeg,225,225,gloves,11,14,225,225
gloves (302).jpeg,225,225,gloves,16,25,159,202
gloves (302).jpeg,225,225,gloves,79,31,210,213
gloves (303).jpeg,258,195,gloves,6,7,173,183
gloves (304).jpeg,259,194,gloves,13,24,141,105
gloves (304).jpeg,259,194,gloves,104,78,258,163
gloves (305).jpeg,232,217,gloves,50,60,232,180
gloves (305).jpeg,232,217,gloves,1,18,222,144
gloves (306).jpeg,259,194,gloves,29,45,237,154
gloves (307).jpeg,224,224,gloves,17,8,155,197
gloves (307).jpeg,224,224,gloves,87,13,224,222
gloves (308).jpeg,225,225,gloves,27,5,123,158
gloves (308).jpeg,225,225,gloves,81,40,189,214
gloves (309).jpeg,310,163,gloves,12,7,291,160
gloves (31).jpeg,100,100,gloves,1,20,100,97
gloves (31).jpeg,100,100,gloves,1,4,77,47
gloves (310).jpeg,245,206,gloves,34,11,177,179
gloves (311).jpeg,262,193,gloves,85,10,255,100
gloves (311).jpeg,262,193,gloves,21,44,188,153
gloves (312).jpeg,237,213,gloves,56,2,203,195
gloves (313).jpeg,233,217,gloves,4,5,155,119
gloves (314).jpeg,152,331,gloves,1,71,145,310
gloves (315).jpeg,225,225,gloves,82,25,141,215
gloves (316).jpeg,207,243,gloves,57,26,130,134
gloves (316).jpeg,207,243,gloves,84,127,140,183
gloves (317).jpeg,225,225,gloves,51,96,167,204
gloves (317).jpeg,225,225,gloves,1,4,35,81
gloves (318).jpeg,225,225,gloves,1,22,210,208
gloves (319).jpeg,305,165,gloves,10,21,164,138
gloves (319).jpeg,305,165,gloves,212,33,305,141
gloves (32).jpeg,248,203,gloves,45,20,130,175
gloves (32).jpeg,248,203,gloves,146,130,228,203
gloves (320).jpeg,259,195,gloves,3,16,114,119
gloves (320).jpeg,259,195,gloves,137,83,248,181
gloves (321).jpeg,255,197,gloves,26,9,196,160
gloves (321).jpeg,255,197,gloves,179,142,255,197
gloves (322).jpeg,243,207,gloves,102,65,215,144
gloves (322).jpeg,243,207,gloves,28,43,101,83
gloves (323).jpeg,180,180,gloves,42,1,132,145
gloves (324).jpeg,241,209,gloves,12,19,179,165
gloves (325).jpeg,259,194,gloves,148,59,202,147
gloves (325).jpeg,259,194,gloves,201,59,259,154
gloves (326).jpeg,275,183,gloves,19,25,135,183
gloves (326).jpeg,275,183,gloves,137,28,254,183
gloves (327).jpeg,275,183,gloves,43,26,139,177
gloves (327).jpeg,275,183,gloves,138,27,240,167
gloves (328).jpeg,225,225,gloves,1,8,163,166
gloves (328).jpeg,225,225,gloves,170,53,225,142
gloves (329).jpeg,225,225,gloves,32,36,195,210
gloves (33).jpeg,225,225,gloves,14,17,157,135
gloves (330).jpeg,225,225,gloves,5,83,81,151
gloves (331).jpeg,223,226,gloves,3,1,112,224
gloves (331).jpeg,223,226,gloves,115,1,219,221
gloves (332).jpeg,225,225,gloves,70,65,225,186
gloves (333).jpeg,225,225,gloves,1,50,69,181
gloves (333).jpeg,225,225,gloves,86,110,166,167
gloves (334).jpeg,225,225,gloves,81,6,218,225
gloves (335).jpeg,225,225,gloves,52,30,207,103
gloves (335).jpeg,225,225,gloves,45,126,211,208
gloves (336).jpeg,262,192,gloves,32,16,248,159
gloves (337).jpeg,242,208,gloves,83,7,124,95
gloves (337).jpeg,242,208,gloves,125,53,164,129
gloves (337).jpeg,242,208,gloves,167,78,210,180
gloves (338).jpeg,180,180,gloves,35,1,139,147
gloves (339).jpeg,300,168,gloves,1,130,182,168
gloves (34).jpeg,275,183,gloves,66,13,183,164
gloves (340).jpeg,300,168,gloves,1,16,237,134
gloves (341).jpeg,252,200,gloves,14,10,238,190
gloves (342).jpeg,225,225,gloves,89,67,196,138
gloves (342).jpeg,225,225,gloves,7,97,78,157
gloves (343).jpeg,280,180,gloves,40,20,97,101
gloves (343).jpeg,280,180,gloves,79,112,135,180
gloves (344).jpeg,210,240,gloves,21,75,189,204
gloves (345).jpeg,225,225,gloves,60,5,198,220
gloves (346).jpeg,245,206,gloves,62,18,120,197
gloves (346).jpeg,245,206,gloves,122,17,186,185
gloves (347).jpeg,300,168,gloves,79,1,187,89
gloves (347).jpeg,300,168,gloves,1,2,134,168
gloves (348).jpeg,219,230,gloves,23,1,213,118
gloves (348).jpeg,219,230,gloves,10,106,219,229
gloves (349).jpeg,223,226,gloves,1,4,212,226
gloves (35).jpeg,266,190,gloves,68,6,205,123
gloves (350).jpeg,225,225,gloves,22,55,225,172
gloves (351).jpeg,275,183,gloves,150,69,248,162
gloves (351).jpeg,275,183,gloves,56,46,126,80
gloves (352).jpeg,291,173,gloves,19,10,282,147
gloves (353).jpeg,225,225,gloves,39,27,196,199
gloves (354).jpeg,284,177,gloves,167,2,250,76
gloves (354).jpeg,284,177,gloves,181,78,284,132
gloves (355).jpeg,216,233,gloves,17,69,104,189
gloves (355).jpeg,216,233,gloves,112,70,197,197
gloves (356).jpeg,225,225,gloves,118,24,196,138
gloves (356).jpeg,225,225,gloves,53,112,123,192
gloves (357).jpeg,225,225,gloves,8,14,219,187
gloves (358).jpeg,299,169,gloves,3,22,155,146
gloves (359).jpeg,264,191,gloves,35,9,107,131
gloves (36).jpeg,225,225,gloves,102,67,225,221
gloves (360).jpeg,225,225,gloves,31,34,166,137
gloves (360).jpeg,225,225,gloves,99,135,199,212
gloves (361).jpeg,225,225,gloves,39,27,115,208
gloves (361).jpeg,225,225,gloves,111,26,175,204
gloves (362).jpeg,225,225,gloves,85,61,225,185
gloves (363).jpeg,225,225,gloves,3,46,225,176
gloves (364).jpeg,260,194,gloves,1,15,67,182
gloves (364).jpeg,260,194,gloves,70,17,137,179
gloves (364).jpeg,260,194,gloves,138,14,218,194
gloves (364).jpeg,260,194,gloves,192,11,260,181
